,tweet_id_str,date_time,location,tweet_text
67,1542154747070894081,2022-06-29 14:35:18+00:00,"New York, NY",president xi consequences focusing achieving herd china would unthinkable china ' zero measures economical effective.
68,1542151174316597253,2022-06-29 14:21:06+00:00,A top secret base in the UK ,sorry hear yes clinically vulnerable people let government ' herd plan. included asthma .
69,1542149331662282754,2022-06-29 14:13:47+00:00,"Lagos, Nigeria","xi warns herd , vows stick zero"
70,1542145393382785025,2022-06-29 13:58:08+00:00,"Devon, UK & California, USA",like herd look got us ! #toriesdevoidofshame
71,1542142090573914114,2022-06-29 13:45:00+00:00,Dubai,"president xi jinping declares #covid zero economic effective policy #china , symbolic visit wuhan cast strategy proof superiority country political system."
72,1542133366711283712,2022-06-29 13:10:20+00:00,,"xi says zero policy economic , effective china , warns herd"
73,1542130390160343043,2022-06-29 12:58:31+00:00,UK,believe sir patrick vallance ' herd sars cov 2 ?
74,1542124983844974593,2022-06-29 12:37:02+00:00,"Washington, DC","world letting rip , meaning measures stop spread ended. supportive herd approach vaccines available , governments giving new guidance explaining #endemic."
75,1542103025266966528,2022-06-29 11:09:46+00:00,Southwest Missouri,"xi warns ' herd , ' vows stick zero"
76,1542096311708954624,2022-06-29 10:43:06+00:00,"Gastonia, NC","xi warns herd , vows stick zero."
77,1542092625284571136,2022-06-29 10:28:27+00:00,,"chinas xi warns herd , says zero policy works best"
78,1542088338089426949,2022-06-29 10:11:25+00:00,,"xi warns herd , vows stick zero"
79,1542087951340945408,2022-06-29 10:09:52+00:00,UAE,"china xi warns herd , says zero policy works best"
80,1542087872265715712,2022-06-29 10:09:34+00:00,"Kirriemuir, Scotland",stricken jeremy vine leads calls return shielding.they telling want herd reporting
81,1542087774479781894,2022-06-29 10:09:10+00:00,Bizarro world,immune system expert prof. cyrille cohen wants actively encourage herd among vulnerable older population injecting last people country still true non sterilising vaccine .
82,1542073761695862784,2022-06-29 09:13:29+00:00,,"xi said china ' #covid response measures protected people ' lives health greatest extent. china adopted ' herd ' policy hands approach , given large population , country would faced catastrophic consequences. #xijinping"
83,1542072387679580160,2022-06-29 09:08:02+00:00,Canada,"xi warns ' herd , ' vows stick zero"
84,1542062542872141826,2022-06-29 08:28:55+00:00,"Beijing, China","visit wuhan , president xi said given china ' large population , pursues herd adopts lying approach , consequences would unimaginable dynamic zero economical effective choice country."
85,1542050733209653255,2022-06-29 07:41:59+00:00,United Kingdom,discredited herd strategy interesting hatchet job early us strategy. time trump partisan attack. need click get full thing. text 20 pages long.
86,1542041045533196290,2022-06-29 07:03:29+00:00,WA ,itspeaks4itself ! get fauci army preached herd instead locked world ! god gave ! millions mankind take care body immune system ! weathered 19 flu without weird science
87,1542040163009695745,2022-06-29 06:59:59+00:00,Beijing,"xi visits #wuhan , emphasizing china stick dynamic zero tolerance policy , saying given large population , china take herd policy lying flat dealing virus , stances lead disastrous outcome."
88,1542038977825341440,2022-06-29 06:55:16+00:00,Barneveld,"dr. jay bhattacharya vaccine mandates , herd , zero 19 impossible"
